1	41	152	74	12	天使學園(LV1)
2	42	11	113	12	東方操場(LV1~10)
3	43	189	24	12	西方操場(LV1~10)
4	3	337	25	2,13,14	聖光城入口
5	3	206	173	2,13,14	聖光城重生點
6	26	16	11	2,13,15	永夜城入口
7	26	213	45	2,13,15	永夜城重生點
8	29	13	24	2,13,16	和風林入口
9	29	319	78	2,13,16	和風林重生點
10	38	41	9	2,13,17	鐵輪堡入口
11	38	74	149	2,13,17	鐵輪堡重生點
12	6	10	137	2,14	穗海農場(LV6~17)
13	7	15	177	2,14	向日葵平原(LV12~23)入口
14	7	79	174	2,14	向日葵平原(LV12~23)重生點
15	4	83	178	2,14	晨曦港灣(LV18~26)入口
16	4	179	162	2,14	晨曦港灣(LV18~26)重生點
17	2	276	178	2,14	亂石海岸(LV24~32)入口
18	5	52	142	2,14	櫻貝村(LV27~35)入口
19	5	211	63	2,14	櫻貝村(LV27~35)重生點
20	32	306	199	2,15	暗影通道(LV9~17)
21	19	16	159	2,15	蕈林南方(LV15~23)入口
22	19	185	60	2,15	蕈林南方(LV15~23)重生點
23	31	322	25	2,15	無底洞(LV18~26)入口
24	31	169	94	2,15	無底洞(LV18~26)重生點
25	14	46	9	2,15	德古拉迷宮(LV24~32)
26	35	12	27	2,15	遺忘之窟(LV27~35)入口
27	35	305	159	2,15	遺忘之窟(LV27~35)重生點
28	23	218	122	2,16	深邃密林(LV9~17)
29	18	235	6	2,16	蘑菇森林(LV15~23)入口
30	18	174	44	2,16	蘑菇森林(LV15~23)重生點
31	30	8	150	2,16	隱月沼澤(LV18~26)入口
32	30	56	151	2,16	隱月沼澤(LV18~26)重生點
33	13	308	61	2,16	翡翠溪谷(LV24~29)
34	22	29	12	2,16	秘密花園(LV27~35)
35	37	251	160	2,17	希望之淚(LV9~17)
36	34	285	178	2,17	廢鐵村(LV15~38)入口
37	34	179	103	2,17	廢鐵村(LV15~38)重生點
38	33	289	13	2,17	火焚沙漠(LV24~29)入口
39	33	175	170	2,17	火焚沙漠(LV24~29)重生點
40	39	10	159	2,17	仙人掌高原(LV18~26)入口
41	39	12	140	2,17	仙人掌高原(LV18~26)重生點
42	36	56	9	2,17	哥布林峽谷(LV27~35)
43	8	18	13	2,18	破碎之丘(LV30~40)
44	12	14	13	2,18	鏡湖北岸(LV40~50)入口
45	12	92	134	2,18	鏡湖北岸(LV40~50)重生點
46	9	12	175	2,18	鏡湖南岸(LV35~45)
47	17	272	171	2,18	寂靜山谷(LV35~45)
48	15	18	11	2,18	迷幻溼地(LV40~50)入口
49	15	33	161	2,18	迷幻溼地(LV40~50)重生點
50	21	289	13	2,18	惡龍墳場(LV40~50)入口
51	21	255	180	2,18	惡龍墳場(LV40~50)重生點
52	16	17	16	2,18	荊棘荒原(LV45~55)
53	11	14	20	2,18	雷轟廢墟(LV45~55)
54	25	20	12	2	蕈林北方(LV30~40)
55	20	274	164	2	鬼霧林(LV35~45)
56	28	286	171	2	巨石草原(LV30~40)
57	27	10	23	2	神殿遺址(LV50~63)
58	128	22	12	2,6	龍息之地(LV80~110)入口
59	128	272	159	2,6	龍息之地(LV80~110)重生點
60	129	15	25	2,6	隱者溼地(LV90~100)
61	130	17	14	2,6	花舞長廊(LV100~112)
62	131	20	12	2,6	光明殿(LV110~125)入口
63	131	165	136	2,6	光明殿(LV110~125)復活圖騰區
64	67	20	178	3	悲鳴深淵(LV45~70)
65	68	24	124	3	熾熱通道(LV60~70)入口
66	68	27	24	3	熾熱通道(LV60~70)重生點
67	69	21	163	3	熔岩石窟(LV55~73)入口
68	69	245	167	3,19	熔岩石窟(LV55~73)副本進入點
69	70	22	153	3	烈燄巨門(LV70~80)入口
70	70	7	17	3	烈燄巨門(LV70~80)重生點
71	70	25	30	3	烈燄巨門(LV70~80)復活圖騰區
72	71	19	17	3	地底廣場(LV70~80)入口
73	71	244	20	3,19	地底廣場(LV70~80)副本進入點
74	72	24	29	3	闇獄殿堂(LV80~85)
75	80	12	10	12,20	天使教堂
76	84	21	165	4	藍海陸棚(LV73~95)
77	85	17	168	4	幻彩珊瑚礁(LV80~80)入口
78	85	30	32	4	幻彩珊瑚礁(LV80~80)重生點
79	86	289	140	4	黃金海灘(LV48~60)
80	87	235	94	4	噗吉噗吉村
81	88	291	99	4	棕櫚基地入口
82	88	157	73	4	棕櫚基地重生點
